Country/Region;ID
China;10
Hong Kong SAR;19
India;21
Israel;23
Japan;25
Malaysia;26
Mena;27
Pakistan;31
Russia;37
Saudi Arabia;38
Singapore;39
South African Republic;42
South Korea;43
Taiwan;47
Thailand;48
Turkey;49
New Zeland;2
Canada;7
Austria;3
Belgium;4
Bosnia;5
Croatia;12
Czech Republic;13
Denmark;14
Finland;16
France;17
Germany;18
Hungary;20
Ireland;22
Italy;24
Netherlands;29
Norway;30
Poland;33
Portugal;34
Romania;36
Slovakia;40
Slovenia;41
Spain;44
Sweden;45
Switzerland;46
United Kingdom;51
Argentina;1
Brazil;6
Central America;8
Chile;9
Colombia;11
Ecuador;15
Mexico;28
Peru;32
Venezuela;52
Puerto Rico;35
USA;50
